Date,Open,High,Low,Close,Adj Close,Volume
2021-08-24,67.63,68.54,66.92,68.36,68.36,353742
2021-08-25,68,68.31,67.02,67.42,67.42,344286
2021-08-26,67.75,69.05,67.52,68.74,68.74,326056
2021-08-29,69.3,69.64,67.67,69.21,69.21,360797
2021-08-30,69.18,69.34,68.16,68.5,68.5,325853
2021-08-31,68.55,69.24,67.12,68.59,68.59,399497
2021-09-01,68.29,70.61,67.84,69.99,69.99,403314
2021-09-02,69.76,70.53,69.05,69.29,69.29,313086
2021-09-06,69.11,69.48,67.64,68.35,68.35,481704
2021-09-07,68.37,69.75,68.31,69.3,69.3,389325
2021-09-08,69.36,69.89,67.56,68.14,68.14,556451
2021-09-09,67.97,69.96,67.68,69.72,69.72,411079
2021-09-12,69.74,70.97,69.51,70.45,70.45,390939
2021-09-13,70.64,71.22,69.98,70.46,70.46,414231
2021-09-14,70.76,73.14,70.65,72.61,72.61,418665
2021-09-15,72.65,72.99,71.53,72.61,72.61,298412
2021-09-16,72.62,72.72,71.21,71.97,71.97,119933
2021-09-19,71.92,72.08,69.86,70.29,70.29,75837
2021-09-20,70.59,71.63,69.67,70.56,70.56,393403
2021-09-21,70.85,72.3,70.64,72.23,72.23,381061
2021-09-22,71.97,73.5,71.61,73.3,73.3,403405
2021-09-23,73.24,74.27,72.81,73.98,73.98,350382
2021-09-26,74.19,75.75,74.16,75.45,75.45,417829
2021-09-27,75.43,76.67,74.24,75.29,75.29,476143
2021-09-28,74.38,75.79,73.74,74.83,74.83,424193
2021-09-29,74.78,76.07,73.14,75.03,75.03,583189
2021-09-30,75.12,75.99,74.23,75.88,75.88,388996
2021-10-03,75.9,78.38,75.32,77.62,77.62,458006
2021-10-04,77.58,79.48,77.47,78.93,78.93,449617
2021-10-05,79.04,79.78,76.83,77.43,77.43,459055
2021-10-06,77,78.89,74.96,78.3,78.3,545008
2021-10-07,78.86,80.11,78.63,79.35,79.35,662010
2021-10-10,79.59,82.18,79.55,80.52,80.52,653756
2021-10-11,80.5,81.62,79.47,80.64,80.64,598181
2021-10-12,80.58,81.04,79.42,80.44,80.44,487220
2021-10-13,80.59,81.68,80.38,81.31,81.31,399813
2021-10-14,81.48,82.66,81.39,82.28,82.28,277953
2021-10-17,82.6,83.87,81.84,82.44,82.44,134098
2021-10-18,82.37,83.74,81.8,82.96,82.96,82607
2021-10-19,83.34,84.25,81.3,83.87,83.87,530693
2021-10-20,83.58,83.96,80.79,82.5,82.5,567503
2021-10-21,82.61,84.22,81.76,83.76,83.76,465355
2021-10-24,83.98,85.41,83.39,83.76,83.76,568725
2021-10-25,83.72,84.88,82.97,84.65,84.65,467716
2021-10-26,84.39,84.51,82.01,82.66,82.66,529952
